"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fires - Prescribed Fires","NY","36","Carbon Dioxide","GHG","106423.40428","TON"
"Mobile - Aircraft","CT","09","Carbon Dioxide","GHG","104436.8533647","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Carbon Dioxide","GHG","87726.4","TON"
"Fires - Wildfires","NJ","34","Carbon Dioxide","GHG","74913.582337","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Carbon Dioxide","GHG","67086.0197255","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Carbon Dioxide","GHG","66119.96360985","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Carbon Dioxide","GHG","66049.1","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Carbon Dioxide","GHG","64019.728815","TON"
"Fuel Comb - Residential - Wood","NY","36","Carbon Monoxide","CAP","63539.05042756816145203","TON"
"Fires - Wildfires","NY","36","Carbon Dioxide","GHG","56324.186811","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Volatile Organic Compounds","CAP","47796.66248222469","TON"
"Waste Disposal","NY","36","Carbon Monoxide","CAP","46122.45374685","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Nitrogen Oxides","CAP","45023.22432591026","TON"
"Waste Disposal","NJ","34","Carbon Dioxide","GHG","44054.2","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Carbon Dioxide","GHG","43671.53342775","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Volatile Organic Compounds","CAP","42839.53194886416","TON"
"Fuel Comb - Residential - Wood","NJ","34","Carbon Monoxide","CAP","40626.09864536402821","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Nitrogen Oxides","CAP","38112.30635958","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Nitrogen Oxides","CAP","33626.77630502","TON"
"Mobile - Aircraft","NY","36","Lead","CAP/HAP","27882.58647888","LB"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Carbon Dioxide","GHG","27562.1","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Volatile Organic Compounds","CAP","25887.97021224","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Carbon Monoxide","CAP","25398.10286867","TON"
"Fuel Comb - Residential - Wood","CT","09","Carbon Monoxide","CAP","25378.4106666","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Nitrogen Oxides","CAP","24411.13781788999","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Nitrogen Oxides","CAP","24167.2011443","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Volatile Organic Compounds","CAP","22056.2808362296","TON"
"Fuel Comb - Residential - Natural Gas","NY","36","Nitrogen Oxides","CAP","20304.0004395","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Carbon Dioxide","GHG","19713.7","TON"
"Fires - Prescribed Fires","NJ","34","Carbon Monoxide","CAP","16957.180708","TON"
"Mobile - Aircraft","NY","36","Carbon Monoxide","CAP","16949.602258087","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Carbon Monoxide","CAP","15900.714426","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Nitrogen Oxides","CAP","15750.265431","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Nitrogen Oxides","CAP","15259.592963","TON"
"Mobile - Non-Road Equipment - Other","NY","36","Carbon Monoxide","CAP","15124.290958413082","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Nitrogen Oxides","CAP","14440.45142481132","TON"
"Mobile - Aircraft","NJ","34","Lead","CAP/HAP","13746.07104026","LB"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Carbon Monoxide","CAP","13691.27645865","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Volatile Organic Compounds","CAP","13369.20283","TON"
"Mobile - Locomotives","NY","36","Nitrogen Oxides","CAP","13164.7390635","TON"
"Fires - Prescribed Fires","CT","09","Carbon Dioxide","GHG","12496.9274","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Carbon Monoxide","CAP","12369.3888632","TON"
"Fires - Wildfires","CT","09","Carbon Dioxide","GHG","11231.861571","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Carbon Monoxide","CAP","11063.168142127365","TON"
"Mobile - Commercial Marine Vessels","NY","36","Nitrogen Oxides","CAP","11016.70685332","TON"
"Mobile - Commercial Marine Vessels","NJ","34","Nitrogen Oxides","CAP","10681.19530792","TON"
"Fuel Comb - Residential - Natural Gas","NJ","34","Nitrogen Oxides","CAP","10415.57694","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Nitrogen Oxides","CAP","9633.02643","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Nitrogen Oxides","CAP","9624.55536936027","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NY","36","Sulfur Dioxide","CAP","9362.2287483","TON"
"Gas Stations","NY","36","Volatile Organic Compounds","CAP","9010.33631493586","TON"
"Fuel Comb - Residential - Wood","NY","36","Volatile Organic Compounds","CAP","9010.326301467370817629","TON"
"Mobile - Aircraft","NJ","34","Carbon Monoxide","CAP","8744.6653187990462","TON"
"Fuel Comb - Residential - Natural Gas","NY","36","Carbon Monoxide","CAP","8640.0002676","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Carbon Monoxide","CAP","8569.5084559","TON"
"Fires - Prescribed Fires","NY","36","Carbon Monoxide","CAP","8143.710854","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Carbon Monoxide","CAP","8005.55529","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Volatile Organic Compounds","CAP","7792.0641175173","TON"
"Fuel Comb - Residential - Oil","NY","36","Nitrogen Oxides","CAP","7520.18360775","TON"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Carbon Dioxide","GHG","7323.343","TON"
"Fuel Comb - Comm/Institutional - Other","NY","36","Carbon Dioxide","GHG","7285.65958","TON"
"Fires - Wildfires","NJ","34","Carbon Monoxide","CAP","7138.362372","TON"
"Waste Disposal","NY","36","Volatile Organic Compounds","CAP","7079.806645765","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Carbon Monoxide","CAP","6729.9197996","TON"
"Gas Stations","NJ","34","Volatile Organic Compounds","CAP","6627.22712157","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Nitrogen Oxides","CAP","6615.7506723","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Carbon Monoxide","CAP","6337.38764500589","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Nitrogen Oxides","CAP","6261.80007045","TON"
"Mobile - Non-Road Equipment - Other","NJ","34","Carbon Monoxide","CAP","6229.700830186","TON"
"Waste Disposal","NY","36","Nitrogen Oxides","CAP","6014.66742561","TON"
"Mobile - Locomotives","NJ","34","Nitrogen Oxides","CAP","6000.337171","TON"
"Fuel Comb - Residential - Wood","NJ","34","Volatile Organic Compounds","CAP","5653.461105135817832","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Carbon Dioxide","GHG","5546.3","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Carbon Monoxide","CAP","5249.8732115","TON"
"Mobile - Aircraft","NY","36","Nitrogen Oxides","CAP","5206.2698697596","TON"
"Mobile - Non-Road Equipment - Diesel","CT","09","Nitrogen Oxides","CAP","5058.78925741372","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Carbon Monoxide","CAP","4846.958287","TON"
"Mobile - Aircraft","CT","09","Lead","CAP/HAP","4841.24985502","LB"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Nitrogen Oxides","CAP","4712.6358321901","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Carbon Monoxide","CAP","4659.4800043","TON"
"Fires - Wildfires","NY","36","Carbon Monoxide","CAP","4599.587602","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Carbon Monoxide","CAP","4440.75069015","TON"
"Fuel Comb - Residential - Natural Gas","NJ","34","Carbon Monoxide","CAP","4432.16007","TON"
"Fires - Prescribed Fires","NJ","34","Volatile Organic Compounds","CAP","4010.157607","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Nitrogen Oxides","CAP","3622.56468711","TON"
"Fuel Comb - Residential - Wood","CT","09","Volatile Organic Compounds","CAP","3616.99825521","TON"
"Commercial Cooking","NY","36","Carbon Monoxide","CAP","3609.6973238","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Carbon Monoxide","CAP","3400.744327","TON"
"Mobile - Non-Road Equipment - Other","CT","09","Carbon Monoxide","CAP","3367.0507537887","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Volatile Organic Compounds","CAP","3325.811479034","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Ammonia","CAP","3194.567189830278","TON"
"Mobile - Aircraft","NJ","34","Nitrogen Oxides","CAP","3162.02702798985","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Nitrogen Oxides","CAP","3018.20974388","TON"
"Mobile - Non-Road Equipment - Other","NY","36","Nitrogen Oxides","CAP","2980.343004295698","TON"
"Fuel Comb - Residential - Oil","CT","09","Nitrogen Oxides","CAP","2771.3583006","TON"
"Waste Disposal","CT","09","Nitrogen Oxides","CAP","2726.348499","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Nitrogen Oxides","CAP","2653.047842462","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Nitrogen Oxides","CAP","2522.74924592","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Methane","GHG","2494.123285907871","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","CT","09","Nitrogen Oxides","CAP","2411.199400717","TON"
"Mobile - Non-Road Equipment - Diesel","CT","09","Carbon Monoxide","CAP","2388.58087104309","TON"
"Fuel Comb - Electric Generation - Biomass","NY","36","Carbon Dioxide","GHG","2308.8305","TON"
"Fuel Comb - Residential - Natural Gas","CT","09","Nitrogen Oxides","CAP","2276.25698","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Carbon Monoxide","CAP","2263.17287","TON"
"Waste Disposal","NJ","34","Nitrogen Oxides","CAP","2239.58177435","TON"
"Mobile - Locomotives","NY","36","Carbon Monoxide","CAP","2223.67329217","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Volatile Organic Compounds","CAP","2174.884760391517","TON"
"Waste Disposal","NY","36","Methane","GHG","2126.46600825","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Nitrogen Oxides","CAP","2094.8451","TON"
"Waste Disposal","NJ","34","Volatile Organic Compounds","CAP","2046.8548063382","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Nitrogen Oxides","CAP","2006.1588257","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Ammonia","CAP","2002.188999755","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","CT","09","Carbon Monoxide","CAP","1998.6752422","TON"
"Fires - Prescribed Fires","NY","36","Volatile Organic Compounds","CAP","1926.468197","TON"
"Mobile - Aircraft","CT","09","Carbon Monoxide","CAP","1869.522768118","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Sulfur Dioxide","CAP","1863.3856753829","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Volatile Organic Compounds","CAP","1842.17149","TON"
"Fires - Agricultural Field Burning","NJ","34","Carbon Monoxide","CAP","1829.9384098","TON"
"Fuel Comb - Electric Generation - Oil","NJ","34","Carbon Dioxide","GHG","1815.4","TON"
"Mobile - Commercial Marine Vessels","CT","09","Nitrogen Oxides","CAP","1755.49940382","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Nitrogen Oxides","CAP","1720.4998260219","TON"
"Fires - Wildfires","NJ","34","Volatile Organic Compounds","CAP","1679.424661","TON"
"Fuel Comb - Residential - Other","NY","36","Nitrogen Oxides","CAP","1675.2119995","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Carbon Monoxide","CAP","1658.07838","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Methane","GHG","1627.648403909249","TON"
"Mobile - Aircraft","NY","36","Volatile Organic Compounds","CAP","1610.869108808329","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Nitrogen Oxides","CAP","1590.758978287","TON"
"Waste Disposal","NJ","34","Methane","GHG","1574.5062","TON"
"Fuel Comb - Residential - Oil","NY","36","Carbon Monoxide","CAP","1566.704987505","TON"
"Commercial Cooking","NJ","34","Carbon Monoxide","CAP","1541.2073106","TON"
"Mobile - Commercial Marine Vessels","NY","36","Carbon Monoxide","CAP","1530.98109348","TON"
"Mobile - Commercial Marine Vessels","NJ","34","Carbon Monoxide","CAP","1516.72966437","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Carbon Monoxide","CAP","1515.11047189","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Carbon Dioxide","GHG","1510.1","TON"
"Fuel Comb - Electric Generation - Coal","NY","36","Sulfur Dioxide","CAP","1435.7","TON"
"Gas Stations","CT","09","Volatile Organic Compounds","CAP","1417.2628039","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NY","36","Nitrogen Oxides","CAP","1410.38708772","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Nitrous Oxide","GHG","1392.5011832164801","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Sulfur Dioxide","CAP","1381.4922893258","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Carbon Dioxide","GHG","1332.938","TON"
"Commercial Cooking","NY","36","Volatile Organic Compounds","CAP","1308.217146036","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Nitrogen Oxides","CAP","1295.7849805","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Methane","GHG","1264.018","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Methane","GHG","1261.56174747912","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","CT","09","Carbon Monoxide","CAP","1258.47655","TON"
"Mobile - Non-Road Equipment - Other","NJ","34","Nitrogen Oxides","CAP","1220.013208653","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","CT","09","Nitrogen Oxides","CAP","1211.509542945","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Volatile Organic Compounds","CAP","1205.446958546158","TON"
"Fuel Comb - Residential - Natural Gas","NY","36","Volatile Organic Compounds","CAP","1187.999956295","TON"
"Fuel Comb - Residential - Oil","CT","09","Sulfur Dioxide","CAP","1173.4526318","TON"
"Fuel Comb - Electric Generation - Coal","NJ","34","Sulfur Dioxide","CAP","1149.873","TON"
"Mobile - Aircraft","NJ","34","Volatile Organic Compounds","CAP","1136.3371383431172","TON"
"Waste Disposal","NY","36","Sulfur Dioxide","CAP","1132.8748494825","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","36","Sulfur Dioxide","CAP","1103.971684766988","TON"
"Fuel Comb - Residential - Wood","NY","36","Nitrogen Oxides","CAP","1095.638014541542669599","TON"
"Fires - Wildfires","NY","36","Volatile Organic Compounds","CAP","1086.175805","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Carbon Monoxide","CAP","1078.1831","TON"
"Mobile - Locomotives","CT","09","Nitrogen Oxides","CAP","1032.22668","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Methane","GHG","1031.191736065","TON"
"Waste Disposal","CT","09","Volatile Organic Compounds","CAP","1021.942799078","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Volatile Organic Compounds","CAP","1016.4559673364","TON"
"Fuel Comb - Residential - Oil","NJ","34","Nitrogen Oxides","CAP","1014.77570207","TON"
"Fuel Comb - Electric Generation - Coal","NY","36","Nitrogen Oxides","CAP","997.8","TON"
"Fuel Comb - Electric Generation - Coal","NJ","34","Nitrogen Oxides","CAP","978.77","TON"
"Fuel Comb - Residential - Natural Gas","CT","09","Carbon Monoxide","CAP","968.62","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","CT","09","Carbon Monoxide","CAP","960.7894911275","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Volatile Organic Compounds","CAP","953.04266363","TON"
"Fuel Comb - Comm/Institutional - Oil","CT","09","Nitrogen Oxides","CAP","898.36856011","TON"
"Mobile - Non-Road Equipment - Other","NY","36","Methane","GHG","880.13549239422574","TON"
"Fires - Wildfires","CT","09","Carbon Monoxide","CAP","868.37015","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Ammonia","CAP","861.9857833","TON"
"Bulk Gasoline Terminals","NY","36","Volatile Organic Compounds","CAP","858.9153515315","TON"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Carbon Monoxide","CAP","846.12967657","TON"
"Fires - Prescribed Fires","NJ","34","Methane","GHG","837.119462","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NJ","34","Carbon Monoxide","CAP","833.122093","TON"
"Mobile - Locomotives","NJ","34","Carbon Monoxide","CAP","832.59594276","TON"
"Fuel Comb - Residential - Oil","CT","09","Carbon Monoxide","CAP","827.66628006","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Nitrous Oxide","GHG","809.792455707","TON"
"Fires - Prescribed Fires","CT","09","Carbon Monoxide","CAP","808.61241","TON"
"Bulk Gasoline Terminals","NJ","34","Volatile Organic Compounds","CAP","800.7028","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Sulfur Dioxide","CAP","799.03333675","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Volatile Organic Compounds","CAP","793.54338896","TON"
"Fuel Comb - Residential - Oil","NY","36","Lead","CAP/HAP","783.35251528","LB"
"Fuel Comb - Residential - Wood","NJ","34","Nitrogen Oxides","CAP","776.518226281955695","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Methane","GHG","732.9135010706","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Carbon Monoxide","CAP","731.873983776","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Nitrogen Oxides","CAP","723.8899","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Nitrogen Oxides","CAP","721.627724","TON"
"Waste Disposal","CT","09","Carbon Monoxide","CAP","718.855627","TON"
"Mobile - Aircraft","NY","36","Sulfur Dioxide","CAP","700.46257539062","TON"
"Waste Disposal","NJ","34","Carbon Monoxide","CAP","692.34336383","TON"
"Fuel Comb - Residential - Natural Gas","NY","36","Ammonia","CAP","691.199992195","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Nitrogen Oxides","CAP","677.0194","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Nitrogen Oxides","CAP","663.96689625","TON"
"Fuel Comb - Electric Generation - Natural Gas","CT","09","Nitrogen Oxides","CAP","649.71893344","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Carbon Monoxide","CAP","643.7026","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","34","Sulfur Dioxide","CAP","639.026568083","TON"
"Commercial Cooking","CT","09","Carbon Monoxide","CAP","634.3182379","TON"
"Mobile - Locomotives","NY","36","Volatile Organic Compounds","CAP","626.86513051","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Volatile Organic Compounds","CAP","613.657280254","TON"
"Fuel Comb - Residential - Natural Gas","NJ","34","Volatile Organic Compounds","CAP","609.422014","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Volatile Organic Compounds","CAP","576.666808","TON"
"Mobile - Non-Road Equipment - Other","CT","09","Nitrogen Oxides","CAP","574.6254958813","TON"
"Fuel Comb - Comm/Institutional - Other","NY","36","Nitrogen Oxides","CAP","566.52546596","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Nitrogen Oxides","CAP","564.836197","TON"
"Commercial Cooking","NJ","34","Volatile Organic Compounds","CAP","557.65531686","TON"
"Waste Disposal","NJ","34","Sulfur Dioxide","CAP","552.603048177","TON"
"Mobile - Commercial Marine Vessels","NJ","34","Volatile Organic Compounds","CAP","552.47529381","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Volatile Organic Compounds","CAP","550.44535415","TON"
"Mobile - Non-Road Equipment - Other","NY","36","Volatile Organic Compounds","CAP","550.4058973979458","TON"
"Fuel Comb - Electric Generation - Coal","NJ","34","Carbon Monoxide","CAP","545.32","TON"
"Mobile - Commercial Marine Vessels","NY","36","Volatile Organic Compounds","CAP","535.64179124","TON"
"Fuel Comb - Residential - Other","NY","36","Sulfur Dioxide","CAP","517.520844","TON"
"Bulk Gasoline Terminals","NY","36","Carbon Dioxide","GHG","517.45825","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Nitrogen Oxides","CAP","515.879865","TON"
"Fuel Comb - Residential - Other","CT","09","Nitrogen Oxides","CAP","512.14795","TON"
"Waste Disposal","NY","36","Ammonia","CAP","505.883130375","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Nitrogen Oxides","CAP","505.4177185449","TON"
"Fuel Comb - Comm/Institutional - Biomass","NJ","34","Carbon Monoxide","CAP","492.444395","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Ammonia","CAP","489.244","TON"
"Fuel Comb - Residential - Natural Gas","CT","09","Ammonia","CAP","484.309995","TON"
"Mobile - Non-Road Equipment - Diesel","CT","09","Volatile Organic Compounds","CAP","483.1017696504","TON"
"Fuel Comb - Residential - Wood","NY","36","Ammonia","CAP","477.3894053724669411383","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Methane","GHG","474.407622319051","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Volatile Organic Compounds","CAP","464.37667075","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","CT","09","Nitrogen Oxides","CAP","461.4414","TON"
"Fuel Comb - Residential - Wood","CT","09","Nitrogen Oxides","CAP","456.28260809","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Methane","GHG","455.6490111","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Nitrogen Oxides","CAP","441.686726111","TON"
"Waste Disposal","CT","09","Lead","CAP/HAP","424.05047024","LB"
"Fuel Comb - Residential - Oil","CT","09","Lead","CAP/HAP","418.46555598","LB"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Nitrous Oxide","GHG","410.19539616","TON"
"Fuel Comb - Comm/Institutional - Other","NY","36","Carbon Monoxide","CAP","407.0167409","TON"
"Fires - Prescribed Fires","NY","36","Methane","GHG","402.472097","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Sulfur Dioxide","CAP","397.64409015","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Methane","GHG","396.908874677","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Methane","GHG","384.0605536","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CT","09","Nitrogen Oxides","CAP","382.634102798","TON"
